150 800
14 50 3
43 146 2
15 113 3
132 79 8
90 33 10
47 144 1
92 2 6
50 57 5
127 55 8
63 11 2
38 130 8
48 75 6
51 106 10
142 108 9
27 80 9
6 69 3
100 12 3
129 134 4
145 105 7
142 121 5
32 9 1
87 0 10
147 103 10
34 16 9
24 10 3
139 117 5
7 100 3
55 146 10
7 102 3
11 70 7
133 148 1
82 103 4
126 7 2
36 41 6
118 40 7
118 29 2
130 128 2
134 85 4
64 115 5
32 104 3
2 70 1
126 96 2
42 68 1
13 92 7
66 15 1
0 115 6
111 54 10
81 28 4
28 114 3
136 27 9
43 69 5
33 86 8
57 128 10
145 43 1
67 109 8
149 98 1
102 111 3
26 120 8
69 99 8
119 13 5
143 42 1
98 18 3
149 75 9
118 70 2
144 80 1
23 17 9
68 24 5
138 48 1
31 21 6
81 45 10
105 143 6
107 142 3
49 121 4
12 75 8
125 139 7
119 19 5
117 7 5
36 115 4
33 80 4
28 63 2
8 121 3
123 78 8
40 80 3
61 144 6
98 119 9
14 57 6
97 60 2
61 2 9
101 144 5
32 24 8
79 14 5
108 2 10
143 23 6
22 121 10
77 37 7
56 114 1
83 62 2
121 59 6
39 123 6
19 147 3
101 59 7
40 0 1
49 105 6
7 67 7
56 10 2
20 141 3
40 58 5
113 138 4
16 51 3
136 66 6
145 133 2
35 91 6
18 59 4
112 65 2
33 115 5
88 3 10
83 57 8
50 125 2
40 147 2
80 44 1
1 19 6
134 36 9
115 142 5
112 115 4
71 148 3
57 110 3
147 116 10
5 58 7
2 138 10
0 14 7
105 129 2
149 17 9
90 10 3
146 47 2
84 106 8
48 57 4
139 46 8
75 147 3
100 132 10
5 116 4
65 71 7
22 20 6
89 123 6
114 59 4
27 109 3
88 98 6
41 80 7
43 16 9
113 11 3
8 111 1
65 89 3
68 2 2
50 143 5
33 107 10
66 90 10
57 117 4
97 115 3
103 100 8
132 6 5
88 132 1
91 68 8
95 101 9
101 77 1
20 139 5
61 139 2
135 138 5
9 132 5
14 98 2
149 102 9
147 14 9
89 102 1
90 105 10
82 146 1
144 82 9
64 94 4
3 139 6
98 130 8
42 64 8
95 35 2
14 32 5
100 75 1
73 113 10
40 1 5
91 7 3
147 5 1
126 147 2
145 147 8
61 39 9
38 97 10
46 115 4
94 42 8
105 57 3
93 34 5
110 61 4
110 9 9
58 136 10
71 23 4
19 4 9
13 108 6
31 62 7
124 58 10
27 145 1
6 67 3
84 19 10
81 39 7
46 97 7
135 83 3
76 94 3
114 9 1
85 92 9
132 107 3
85 28 4
101 12 7
123 26 2
36 118 10
142 78 5
58 63 2
8 68 7
122 104 8
28 42 10
70 55 2
74 40 3
110 65 9
140 121 5
83 21 1
73 79 7
61 136 1
101 10 1
132 85 9
30 41 9
121 70 2
59 102 8
73 134 7
133 72 10
120 109 1
28 145 3
32 42 1
118 7 3
107 139 8
103 30 8
101 40 8
37 15 8
101 107 1
71 21 4
61 49 3
127 24 1
133 54 2
108 35 6
137 71 2
30 69 7
127 20 4
20 109 5
34 101 2
134 74 9
85 135 3
48 123 7
30 106 7
128 116 1
79 62 10
60 32 3
40 84 3
119 12 5
24 0 4
67 36 10
100 60 5
130 88 6
52 28 7
68 89 5
41 127 2
115 144 8
38 25 6
28 49 3
149 127 3
142 77 9
24 139 9
62 3 8
58 43 8
46 84 4
107 71 9
50 119 9
94 139 2
12 140 1
113 96 10
67 120 3
140 32 2
93 124 10
90 119 10
125 138 7
96 38 8
42 99 3
98 43 2
50 26 2
26 57 8
118 88 3
8 46 5
92 41 4
81 8 7
112 133 9
136 117 3
108 102 10
80 146 5
114 46 3
111 119 8
121 109 9
87 147 7
104 124 9
24 110 10
16 113 6
18 71 2
21 45 2
140 61 3
128 131 6
148 4 9
106 83 4
12 132 2
118 75 1
29 52 9
124 134 10
65 124 6
87 94 7
110 2 1
126 88 10
74 35 4
29 133 3
136 112 3
106 94 1
39 73 1
3 99 9
95 64 3
12 86 10
54 122 6
96 37 5
17 85 4
14 16 1
97 131 1
113 54 3
76 57 10
35 77 10
99 79 9
145 100 2
92 34 4
34 65 9
9 66 8
9 125 2
3 29 2
9 143 5
8 119 2
141 83 7
39 84 8
83 117 8
83 111 9
20 34 3
149 16 6
79 111 5
42 50 6
49 1 6
106 54 7
49 83 3
84 139 4
86 42 1
26 30 10
107 88 9
93 9 4
65 6 10
129 43 5
86 63 10
22 85 8
59 21 6
95 145 3
8 90 10
88 85 6
125 130 4
93 23 10
102 113 7
127 113 10
66 76 5
146 21 2
144 112 2
112 97 3
107 122 4
66 51 9
116 11 7
20 83 10
88 54 6
143 35 2
29 59 8
42 53 8
139 48 1
23 114 10
2 146 7
49 125 4
77 143 4
128 115 8
59 70 7
127 99 10
34 41 7
31 50 1
74 59 2
143 73 4
18 20 3
94 149 10
21 62 3
46 147 5
25 130 10
76 14 9
83 97 6
55 36 9
88 29 6
91 117 10
17 99 8
33 95 6
139 76 6
119 65 5
138 8 4
47 112 4
90 127 8
79 125 2
69 63 3
45 137 4
14 30 1
105 101 9
144 142 7
57 122 2
14 86 10
3 59 9
92 129 6
101 138 7
50 68 5
74 127 6
71 61 6
124 142 7
126 43 8
54 2 10
140 30 4
67 130 3
27 133 7
125 108 5
75 32 6
34 96 7
23 126 6
94 146 1
143 40 9
108 50 4
61 116 1
45 13 5
131 84 9
118 28 3
86 51 9
38 70 3
54 145 3
97 89 1
65 96 10
86 110 10
111 21 2
131 115 8
108 82 6
4 114 2
142 45 10
71 9 9
137 101 3
52 82 1
65 146 4
34 141 5
88 129 4
71 109 5
102 97 6
103 53 5
74 80 1
106 52 8
38 144 4
65 111 7
46 145 4
136 5 5
18 120 6
52 133 10
48 86 2
134 12 4
18 42 4
55 75 8
67 10 7
83 56 3
8 94 10
77 112 9
17 143 7
140 55 9
61 19 5
105 108 9
40 85 6
8 18 4
28 65 4
112 82 5
42 5 1
76 111 2
131 120 5
97 1 6
65 8 1
45 135 7
115 14 1
91 6 9
30 22 9
76 147 9
56 143 6
104 121 9
93 102 4
121 5 9
106 60 5
27 7 1
11 108 5
56 38 7
102 60 8
84 80 7
79 126 2
61 22 2
44 53 7
148 130 1
57 80 7
59 82 4
129 72 8
143 74 2
99 8 2
89 139 9
15 48 9
30 51 8
1 147 6
17 26 1
97 119 2
79 90 10
94 59 4
68 25 8
91 124 8
13 35 1
141 118 7
1 129 2
94 113 8
132 60 10
71 131 6
92 18 6
109 12 7
12 19 3
95 14 8
115 121 5
30 24 6
49 109 10
8 135 1
86 147 10
115 109 1
90 47 3
29 115 1
57 51 5
19 65 3
3 48 3
27 18 5
108 78 2
83 18 1
57 82 7
96 51 8
135 84 1
101 83 8
112 1 10
106 78 1
8 75 9
58 146 6
43 92 6
138 77 6
29 9 9
15 63 10
86 50 4
136 86 8
12 124 3
63 72 5
69 95 5
98 110 4
147 0 9
121 29 6
137 2 8
2 140 10
122 85 6
