300 5000
175 176 6
176 177 3
177 178 10
178 179 9
179 180 5
180 181 8
181 182 4
182 183 9
183 184 3
184 185 2
185 186 7
186 187 6
187 188 5
188 189 7
189 190 7
190 191 2
191 192 5
192 193 6
193 194 10
194 195 10
195 196 9
196 197 8
197 198 2
198 199 3
199 200 3
200 201 7
201 202 5
202 203 6
203 204 9
204 205 1
205 206 9
206 207 6
207 208 8
208 209 10
209 210 4
210 211 2
211 212 7
212 213 8
213 214 2
214 215 4
215 216 9
216 217 2
217 218 1
218 219 5
219 220 4
220 221 5
221 222 3
222 223 8
223 224 2
224 225 4
225 226 8
226 227 2
227 228 9
228 229 9
229 230 10
230 231 6
231 232 7
232 233 6
233 234 1
234 235 9
235 236 5
236 237 9
237 238 5
238 239 2
239 240 10
240 241 8
241 242 5
242 243 8
243 244 5
244 245 4
245 246 9
246 247 5
247 248 5
248 249 1
249 250 10
250 251 10
251 252 5
252 253 2
253 254 2
254 255 6
255 256 5
256 257 5
257 258 7
258 259 4
259 260 7
260 261 9
261 262 3
262 263 2
263 264 6
264 265 5
265 266 10
266 267 2
267 268 5
268 269 4
269 270 1
270 271 6
271 272 8
272 273 5
273 274 3
274 275 2
275 276 8
276 277 2
277 278 7
278 279 4
279 280 2
280 281 8
281 282 8
282 283 7
283 284 5
284 285 1
285 286 10
286 287 9
287 288 5
288 289 1
289 290 2
290 291 7
291 292 7
292 293 10
293 294 2
294 295 10
295 296 6
296 297 10
297 298 2
298 299 10
128 215 3
191 160 8
157 171 1
39 49 4
212 266 10
124 6 2
138 78 10
40 44 4
253 290 3
279 63 6
290 65 4
145 17 8
36 88 9
60 69 2
165 267 8
119 91 4
136 267 6
9 59 1
86 203 5
236 234 10
40 244 1
283 47 8
110 289 10
122 19 9
254 203 10
9 84 5
209 52 3
212 291 8
238 205 1
274 269 5
53 9 8
42 204 3
63 66 7
33 195 2
175 241 3
189 298 3
209 37 7
279 110 10
269 48 1
53 131 9
296 170 6
147 172 9
159 44 1
181 129 4
261 294 3
53 105 8
38 43 3
162 22 9
144 257 8
268 47 3
200 205 5
164 52 2
236 107 2
74 265 7
174 252 1
224 199 1
29 109 8
264 138 8
240 34 6
105 2 3
101 145 10
212 267 6
143 203 9
46 277 2
130 197 8
80 12 10
38 265 3
253 247 7
285 198 7
26 155 10
216 131 9
133 153 8
182 48 5
210 102 6
286 28 2
127 196 8
166 267 5
211 262 3
43 225 1
274 199 6
41 231 5
89 132 4
252 298 2
212 145 2
53 117 4
214 244 9
297 31 2
286 199 10
80 75 9
115 282 7
60 125 7
135 127 8
15 91 7
264 177 2
144 31 7
165 37 7
200 51 5
269 219 4
98 86 1
90 274 10
214 218 4
121 263 9
1 21 8
64 85 4
256 241 7
142 24 6
205 285 9
143 294 8
80 196 2
20 286 5
194 157 5
13 270 6
119 88 7
177 44 9
114 248 2
240 199 5
93 6 2
127 137 8
190 57 7
115 62 1
175 292 4
153 5 1
80 186 1
235 133 5
21 299 4
160 9 9
240 94 3
171 281 10
219 223 7
33 101 1
249 226 1
55 152 9
295 83 4
249 10 6
236 113 9
274 127 10
282 235 7
127 206 9
138 127 6
270 178 8
29 87 10
192 142 3
8 147 6
48 211 7
91 275 2
273 110 5
192 156 4
217 28 2
19 166 1
274 104 8
41 115 3
253 268 6
69 276 5
102 176 8
14 229 10
47 235 10
104 121 8
285 152 8
223 167 4
143 107 5
24 291 8
65 286 8
236 83 7
136 237 9
264 268 9
79 67 2
212 37 9
85 109 2
271 186 1
266 205 9
214 128 4
110 193 2
233 257 5
87 127 8
270 105 8
240 236 10
137 24 3
35 218 2
276 59 8
97 155 6
111 230 6
80 68 9
37 195 6
77 225 5
106 203 1
76 143 3
223 32 8
237 245 10
231 164 5
152 287 8
109 124 6
202 256 4
262 203 4
279 122 5
278 280 2
166 204 1
226 127 9
97 247 8
150 16 10
14 168 3
214 116 1
59 178 7
209 141 2
84 76 8
54 98 7
269 264 1
99 229 7
251 26 6
148 119 8
56 63 8
82 99 10
73 231 3
121 278 2
87 54 10
188 108 1
74 87 7
299 186 6
203 59 7
156 289 2
125 203 1
14 70 7
120 245 8
64 130 2
107 279 4
106 110 2
154 12 1
11 235 3
78 280 6
228 124 1
289 247 9
214 124 3
178 296 2
5 16 8
102 209 2
253 103 2
36 118 6
62 119 6
98 259 2
23 48 1
41 189 10
243 25 2
229 153 4
288 158 8
230 260 7
169 265 3
298 71 5
109 239 10
42 159 5
298 84 5
282 96 3
287 91 6
7 1 2
158 207 6
132 111 3
294 58 2
84 56 10
204 192 3
115 262 3
206 288 5
242 270 1
10 174 5
212 67 8
261 157 7
152 223 5
160 120 1
28 264 6
71 117 2
265 298 10
163 44 7
260 95 7
40 105 3
94 69 2
269 166 8
16 205 9
226 65 3
26 145 10
39 22 5
160 18 9
144 233 2
8 273 9
58 290 6
59 84 10
114 224 10
279 156 1
258 18 3
240 44 10
117 196 3
123 212 7
74 68 10
21 172 8
15 121 2
134 186 6
105 72 2
115 160 2
227 130 4
271 122 3
185 130 1
25 7 5
235 81 10
130 8 4
141 255 1
74 18 9
234 123 6
287 8 10
295 122 6
66 103 6
244 30 2
74 141 6
71 154 5
248 33 4
101 108 1
282 23 9
54 9 7
287 270 7
240 273 5
185 150 7
173 102 7
256 67 5
35 190 1
58 190 10
53 257 7
39 239 10
222 242 7
18 229 1
230 30 7
213 103 5
207 178 5
251 223 6
77 112 4
106 246 8
111 55 2
117 41 5
198 233 7
288 297 7
39 279 5
143 192 4
203 285 1
101 45 10
133 174 2
180 280 3
222 252 6
33 179 9
135 172 8
260 184 9
126 223 7
38 118 5
151 85 9
53 41 6
86 22 4
174 294 7
87 53 4
92 297 6
55 211 3
72 211 6
128 247 1
112 204 10
198 208 1
81 70 1
247 52 10
103 180 2
295 120 4
266 220 7
126 221 2
94 151 9
157 225 4
169 244 10
287 54 2
121 136 3
272 113 3
110 221 2
215 255 10
41 81 7
256 261 3
134 35 8
13 256 4
205 253 7
248 7 1
222 217 8
295 56 8
84 218 1
34 49 6
244 264 1
246 98 6
184 28 5
253 177 6
171 123 3
211 208 10
184 87 4
11 223 1
217 228 7
271 194 8
204 50 8
92 61 9
54 297 7
8 2 4
281 60 3
103 270 10
15 281 5
281 59 5
223 160 3
266 292 4
64 112 5
244 6 8
100 298 10
19 78 6
61 106 8
162 3 6
7 70 1
42 211 6
290 134 8
119 257 2
30 21 5
120 231 7
19 83 4
276 94 8
26 215 4
149 53 7
202 297 2
276 203 5
122 3 6
203 74 9
63 44 8
245 216 7
185 235 8
262 16 10
287 290 1
154 109 1
183 11 10
194 213 7
184 157 8
11 145 7
1 208 9
278 205 8
78 158 9
43 253 3
154 240 3
89 105 4
189 288 5
256 234 5
108 250 10
43 296 5
185 295 1
70 134 8
25 36 7
289 116 6
224 22 10
70 67 1
84 292 3
86 248 1
134 108 4
218 126 8
24 7 5
81 119 3
56 52 6
260 76 4
285 148 8
83 218 2
281 82 4
130 85 7
99 245 5
116 130 7
11 251 2
113 241 3
194 210 5
159 75 7
7 90 7
142 286 2
51 42 7
151 88 8
34 252 6
44 84 4
42 95 9
218 151 4
178 151 4
34 147 8
146 140 10
20 34 4
47 137 10
293 179 1
267 283 9
4 79 5
39 282 3
137 64 8
254 62 7
244 276 10
187 170 2
160 98 4
158 108 8
119 63 5
49 96 6
265 152 7
206 61 7
248 172 9
243 287 1
89 231 5
145 44 5
200 132 4
166 206 4
75 32 7
137 81 6
286 93 8
214 61 10
211 113 8
112 103 6
176 206 6
209 103 3
52 185 5
277 260 3
265 99 1
210 135 10
132 147 3
83 110 10
26 62 10
235 250 5
226 174 2
292 113 7
6 83 6
14 54 2
129 280 5
163 18 4
290 202 1
244 67 10
43 232 4
298 81 10
194 241 4
187 197 10
119 255 9
166 160 10
173 207 8
29 292 8
124 2 7
129 246 2
172 259 10
85 291 1
44 203 5
77 33 10
164 162 4
131 187 2
9 124 5
184 0 1
96 67 1
130 257 2
47 206 3
30 86 8
100 224 9
129 160 10
284 277 9
61 21 5
179 288 3
243 185 4
77 281 7
45 97 3
208 7 3
134 271 8
226 125 4
104 242 4
239 169 6
287 266 9
188 144 2
148 109 3
151 171 10
212 32 2
232 285 9
26 97 10
107 171 9
128 218 1
198 91 4
239 187 7
259 247 9
210 101 4
224 143 5
148 107 6
169 125 7
65 201 8
80 15 10
276 113 6
78 237 5
256 2 4
188 152 5
188 62 5
297 19 8
178 77 9
91 246 4
267 129 3
204 297 10
183 223 10
8 145 9
99 95 10
72 35 6
147 223 6
271 163 1
238 41 8
65 203 3
281 1 2
255 21 5
184 13 7
138 34 2
263 281 2
284 68 9
288 151 10
218 141 9
208 205 1
157 22 4
46 259 2
41 214 7
296 278 6
70 299 5
70 37 6
75 297 1
52 215 2
13 125 3
281 75 9
15 29 6
62 236 3
66 16 9
15 86 6
5 288 7
272 82 10
69 39 1
263 152 2
232 83 2
84 64 9
186 297 4
168 65 8
188 247 3
26 43 1
274 286 7
134 129 4
83 188 5
29 236 5
58 80 2
87 195 1
189 257 6
240 123 10
142 11 9
84 50 6
28 76 3
69 58 2
276 141 8
274 78 8
229 112 3
106 8 10
260 119 5
168 12 7
11 206 8
41 178 8
203 258 2
259 27 4
54 245 7
39 162 9
191 67 2
93 225 8
138 294 9
56 162 5
14 225 9
212 132 3
227 161 8
151 76 7
24 226 9
101 78 7
165 279 10
240 134 5
157 4 5
246 52 3
222 95 8
47 117 9
249 58 8
12 209 5
263 94 9
217 241 3
9 224 10
80 175 10
252 266 4
109 264 5
183 129 10
287 72 5
77 21 5
28 194 3
206 91 3
173 126 6
243 135 6
173 3 7
170 241 4
126 198 4
74 190 7
173 151 1
155 74 5
195 46 5
191 113 4
13 60 4
210 245 7
256 228 8
90 197 7
279 75 10
287 1 6
243 76 5
266 221 1
268 274 7
224 56 6
77 205 2
140 24 8
274 280 10
105 190 1
177 146 6
242 159 9
117 164 5
159 198 8
261 18 3
278 206 9
265 35 2
131 236 3
18 56 9
21 198 4
116 58 10
254 49 3
232 119 1
248 107 4
20 176 9
61 221 9
279 25 4
140 265 5
144 35 7
2 140 5
299 8 1
171 193 1
195 71 10
259 125 3
16 145 5
297 164 3
257 195 10
36 280 10
230 75 7
65 122 1
31 203 2
161 240 5
224 128 6
128 60 1
69 109 6
283 130 3
26 183 5
287 95 8
30 4 1
51 152 1
138 66 1
199 258 7
246 269 8
219 200 5
196 31 8
132 5 1
42 183 10
54 225 3
168 220 8
130 247 10
273 200 6
49 102 3
202 21 7
163 123 8
150 66 2
98 297 10
107 209 9
183 263 3
155 43 1
78 22 4
67 295 2
165 246 9
41 95 8
240 16 4
1 166 2
68 180 9
42 73 2
106 256 5
272 54 6
299 224 6
36 14 9
266 99 8
154 140 9
149 100 5
278 156 5
25 18 6
168 269 9
252 297 5
220 252 9
231 179 5
162 103 2
295 239 5
249 160 7
183 249 7
201 274 4
151 242 8
174 110 5
96 199 3
85 296 4
251 158 1
75 85 8
137 164 5
195 229 6
200 276 6
125 175 10
272 8 1
51 36 4
119 249 9
89 86 7
237 211 6
131 164 3
53 275 10
181 217 7
258 79 6
61 292 7
297 228 3
153 123 4
254 244 9
214 54 9
86 65 6
43 66 1
272 287 4
203 80 9
185 122 10
188 130 8
239 127 1
231 274 10
28 20 5
72 234 7
238 72 8
102 242 2
50 214 6
225 79 2
144 16 9
85 101 9
143 208 8
171 109 6
60 110 4
104 38 6
266 81 6
259 21 4
69 123 6
112 102 7
125 298 10
121 4 7
235 87 1
222 216 2
131 104 8
20 69 1
273 35 8
33 93 7
260 86 8
164 198 6
292 173 1
7 5 5
291 256 8
63 23 10
251 206 10
58 87 5
154 186 3
199 271 4
223 122 8
124 210 2
236 46 7
202 252 6
152 253 1
97 259 4
42 262 4
223 20 5
66 191 8
252 106 9
115 22 5
56 50 9
71 210 4
177 164 8
257 288 7
99 137 10
218 95 10
79 127 3
44 193 2
69 126 4
8 182 3
206 137 5
183 288 8
84 217 8
247 180 8
230 210 3
274 156 5
9 103 10
238 224 10
202 232 8
268 83 5
228 266 2
179 257 3
281 292 8
2 10 10
80 192 8
146 166 6
200 21 3
52 274 10
21 72 2
163 144 5
151 216 2
234 102 5
69 113 7
4 133 5
99 247 6
205 145 10
276 246 2
41 142 6
218 179 10
245 264 2
32 24 8
153 258 6
133 137 5
143 115 6
109 175 2
22 80 9
260 56 7
29 151 9
204 69 9
13 175 5
74 157 9
129 244 10
109 129 1
43 286 5
249 71 4
40 212 2
221 33 6
123 77 3
211 184 4
70 110 5
148 281 5
25 90 10
122 76 4
214 223 6
123 263 4
168 255 2
281 228 5
106 6 6
15 279 4
158 39 2
199 296 3
143 227 6
77 53 8
60 19 1
37 104 8
150 184 7
85 222 8
13 28 2
8 205 9
231 156 3
136 193 3
121 198 10
260 275 10
27 224 3
207 187 4
230 280 10
208 183 8
5 57 7
152 297 4
139 159 4
31 295 9
153 174 2
254 186 3
197 141 1
58 182 9
39 296 3
176 95 2
256 152 3
64 191 1
281 0 8
205 31 3
51 236 4
130 6 8
269 12 10
161 254 4
121 255 5
135 131 10
239 87 2
9 45 1
151 61 3
44 18 4
53 281 8
136 260 1
85 229 7
16 68 7
122 4 2
232 191 7
237 130 5
94 18 4
163 27 1
185 68 9
41 15 9
170 127 3
82 42 10
226 299 6
292 75 4
51 189 2
88 48 4
234 106 10
229 279 2
28 193 6
164 234 9
158 156 10
56 183 4
251 87 9
173 262 4
154 183 5
217 153 3
227 109 2
162 19 7
181 201 10
116 285 6
232 236 1
21 292 10
155 196 3
141 69 3
197 275 1
127 51 4
284 30 2
155 56 5
67 182 2
215 234 1
72 139 1
36 212 4
169 57 8
104 275 9
114 76 4
238 293 1
168 29 5
165 174 8
105 246 6
22 161 6
238 15 5
251 160 6
183 187 6
247 162 2
14 172 4
61 40 9
267 291 10
76 148 4
195 74 9
205 275 2
109 24 8
154 16 10
281 297 5
244 50 5
270 64 6
207 3 2
107 103 2
58 27 8
221 113 5
245 156 4
145 231 8
242 186 8
61 153 9
112 157 3
268 135 9
157 154 5
53 10 2
190 252 9
211 160 4
167 143 4
226 2 6
101 113 8
112 174 3
76 38 8
231 24 4
193 29 8
258 161 7
102 7 5
2 22 4
81 191 5
240 210 4
121 183 4
87 141 7
71 50 2
254 215 2
259 22 2
95 184 9
131 210 2
59 92 3
182 150 2
188 106 4
197 212 3
77 73 1
193 250 1
124 292 4
117 60 2
30 93 6
273 210 8
266 149 1
172 217 3
21 296 3
201 55 9
197 132 5
161 171 3
225 201 2
226 110 9
60 229 8
254 5 3
298 93 9
148 294 3
53 5 3
169 213 3
141 260 4
214 1 5
151 56 1
253 239 1
177 299 4
288 295 8
261 251 7
143 97 7
109 46 6
114 33 5
223 117 3
230 143 5
100 138 6
108 176 5
42 112 2
239 73 3
257 159 3
3 280 1
292 94 3
3 236 6
54 152 5
106 222 4
282 70 5
174 286 3
224 244 1
236 253 1
154 286 10
160 265 10
115 66 3
175 121 1
178 21 1
218 33 9
38 51 7
40 271 6
46 110 4
240 150 6
78 56 8
59 213 8
199 150 4
3 77 7
227 101 10
244 19 3
112 19 6
181 227 2
264 181 8
103 168 4
120 158 2
30 88 1
267 137 7
164 35 5
145 209 9
159 206 8
231 239 7
296 206 3
89 187 10
121 143 4
49 86 1
122 0 3
29 32 8
78 61 10
192 276 2
105 248 5
276 208 2
263 160 2
143 56 9
72 235 4
31 288 4
225 260 6
211 38 7
260 146 7
141 297 2
201 82 2
286 119 10
135 276 6
252 261 9
117 296 6
229 188 2
16 37 8
288 0 4
204 260 4
39 95 10
122 296 2
165 34 5
180 158 1
54 86 8
214 279 9
169 40 5
73 247 2
40 261 3
186 57 5
261 282 5
18 156 7
157 21 10
115 32 8
262 162 4
287 248 7
131 226 2
161 249 1
29 259 10
145 227 1
273 143 10
185 161 4
34 121 6
83 294 8
138 292 10
197 170 2
271 53 8
260 31 3
250 2 7
243 91 6
174 64 3
239 12 3
260 46 10
3 285 6
262 101 3
183 50 5
137 79 10
288 258 1
243 292 9
115 106 6
148 280 9
295 167 5
141 231 3
271 223 7
23 112 10
259 233 5
92 200 3
5 157 5
221 24 8
37 19 9
195 123 4
194 16 2
202 230 3
0 243 1
24 76 9
267 22 3
39 70 9
255 183 6
151 229 8
88 108 7
281 270 8
282 76 7
211 87 9
67 213 4
209 137 7
284 201 5
174 256 1
132 192 8
124 207 9
99 92 4
254 175 8
73 157 6
285 193 3
267 74 7
247 244 2
259 268 3
239 106 8
137 294 9
56 40 8
295 215 2
74 179 1
247 102 5
85 199 1
136 90 5
77 151 5
50 246 10
281 193 10
23 192 10
30 248 2
155 295 8
2 79 7
196 26 7
129 85 5
1 82 5
38 295 5
168 151 3
157 116 10
247 207 6
42 11 8
152 201 3
253 49 7
69 44 1
41 85 1
21 162 1
228 200 10
168 25 9
262 14 9
190 13 8
153 110 10
5 258 7
153 37 4
163 158 6
286 49 5
298 167 8
268 95 8
257 227 7
31 265 10
27 93 1
256 141 7
141 136 7
125 207 8
147 231 6
230 3 2
135 195 7
93 206 1
214 73 6
91 202 6
281 2 7
24 162 1
14 263 6
202 116 1
109 11 6
112 198 9
214 40 4
51 185 10
201 219 9
49 172 1
290 96 6
210 228 8
2 294 9
173 248 4
84 196 3
183 216 3
234 107 1
15 234 4
5 185 2
242 143 2
295 53 10
62 197 5
92 70 3
243 42 5
93 198 6
141 132 5
19 273 1
12 92 8
141 86 3
17 133 6
56 71 5
8 215 10
233 137 10
55 230 10
98 68 2
190 109 10
131 128 4
161 184 4
183 65 5
177 9 6
83 70 6
138 111 3
126 56 9
293 285 7
171 73 9
174 44 3
13 226 10
79 155 4
26 38 7
159 281 6
136 293 4
207 145 1
57 23 4
282 161 7
188 216 4
176 90 9
275 155 5
46 224 6
231 37 8
249 122 6
190 234 1
26 2 4
256 55 10
207 159 1
173 168 1
21 8 1
123 281 4
41 235 5
166 252 2
219 295 10
146 296 6
168 74 6
268 182 6
69 198 7
19 123 1
1 104 6
55 227 9
82 114 3
271 106 3
210 260 3
62 177 1
141 51 9
82 172 7
119 57 1
101 244 1
282 137 5
237 129 1
223 104 2
139 81 4
169 100 6
151 210 5
189 197 8
258 108 8
50 279 3
226 116 5
197 289 6
147 270 6
65 193 6
60 164 3
35 62 9
269 265 5
205 115 3
135 105 3
202 55 4
91 172 6
189 179 7
233 280 3
12 215 2
153 212 1
35 247 5
260 226 4
170 130 5
110 243 2
190 103 10
291 54 2
245 41 3
252 53 4
147 258 8
235 223 8
137 65 4
113 44 8
83 42 1
169 43 5
182 0 9
143 17 7
201 71 10
265 75 9
186 26 5
138 18 3
215 93 8
14 268 4
74 242 7
100 111 6
132 19 2
275 124 6
213 171 3
85 42 2
77 156 6
158 294 2
180 261 10
35 82 4
95 156 4
187 240 5
284 249 10
41 272 2
292 185 7
76 278 9
173 84 4
152 186 6
51 275 10
113 68 6
196 181 8
293 31 9
54 15 5
148 241 7
208 178 7
217 295 5
250 138 5
219 233 3
260 118 7
139 253 1
50 82 7
174 89 2
106 35 5
253 235 1
285 166 1
157 113 10
128 111 5
244 166 2
159 179 8
201 18 6
55 25 2
143 151 9
181 255 10
115 208 8
135 245 2
181 21 3
187 149 6
165 145 8
160 244 5
129 145 6
232 267 3
253 124 6
133 243 7
106 114 9
207 238 4
173 125 1
298 208 3
87 128 1
60 9 1
219 146 6
173 55 8
24 199 6
282 188 7
57 202 9
236 243 5
69 178 10
56 68 10
196 205 4
290 262 4
1 187 1
189 163 10
136 212 2
82 269 8
162 33 3
165 73 7
182 119 5
200 207 5
285 289 10
40 138 5
249 109 2
226 298 6
87 114 4
99 216 7
200 239 9
235 144 8
247 262 9
222 162 8
238 180 1
37 272 1
279 30 5
292 57 10
269 208 8
261 199 9
189 134 7
136 113 2
216 213 6
227 25 4
58 151 5
58 76 7
8 255 5
149 211 2
244 180 9
7 32 8
118 105 8
276 170 7
229 202 1
152 56 7
256 134 6
158 235 3
80 164 5
230 80 7
17 257 1
20 42 9
158 225 1
100 96 5
156 83 1
24 121 2
141 20 1
164 96 1
224 222 5
144 22 10
9 5 6
177 263 8
263 184 5
253 84 6
62 72 1
46 9 2
35 46 4
89 182 5
59 290 7
145 203 2
35 284 3
84 87 1
297 198 1
233 55 1
14 241 8
200 252 3
104 217 1
203 185 8
25 174 10
274 38 7
47 3 9
177 161 10
101 84 4
209 179 4
286 136 9
57 212 1
129 140 7
227 128 6
160 153 2
6 69 8
178 168 9
289 154 10
74 293 8
148 275 10
233 235 2
293 178 10
142 241 9
194 168 9
183 271 4
246 213 8
40 91 4
12 132 6
64 51 6
105 45 3
100 136 4
221 105 10
115 263 9
117 179 1
43 186 10
236 169 5
37 77 1
161 107 1
188 291 6
97 209 3
107 239 9
92 157 9
165 206 6
17 75 2
192 130 8
13 130 5
226 46 8
226 207 8
210 153 3
34 59 8
64 218 4
97 65 9
39 18 7
4 144 10
161 212 10
155 23 10
159 249 4
111 225 5
256 222 1
6 112 8
70 72 8
189 25 3
31 184 6
34 136 6
37 267 3
42 299 5
58 136 4
138 180 2
72 122 10
103 4 1
251 63 4
223 146 3
276 107 6
225 227 2
262 190 6
65 261 5
250 181 1
274 62 9
283 240 5
263 208 2
7 180 1
194 154 3
161 116 5
70 51 4
194 144 1
150 263 1
182 259 9
217 230 6
72 144 9
198 129 1
128 16 7
110 93 8
188 88 2
220 47 1
18 113 4
230 166 8
262 258 4
298 283 7
18 64 9
93 254 1
72 271 5
154 89 3
149 9 4
89 188 4
158 118 4
212 80 1
299 166 10
148 164 8
264 45 1
295 200 3
99 120 10
169 274 5
151 284 7
75 53 7
82 214 5
209 250 8
31 49 2
156 51 5
154 124 10
216 119 10
84 270 6
188 42 8
60 267 10
120 147 2
159 47 2
270 130 1
69 31 9
195 185 3
66 279 8
111 63 10
160 71 1
44 68 9
155 180 9
270 109 2
249 280 7
166 250 8
127 177 7
263 39 8
229 275 7
172 55 2
99 143 2
165 99 4
25 165 8
95 113 1
157 253 7
229 171 7
62 250 9
112 283 4
225 246 1
179 226 6
29 223 6
246 242 5
180 243 8
259 162 1
135 214 8
226 96 7
160 97 8
37 172 9
195 241 3
256 295 5
218 158 1
94 90 5
23 169 3
43 157 9
258 165 4
252 25 3
76 186 1
146 247 9
202 248 6
214 204 7
281 17 9
287 85 4
7 62 3
80 157 4
296 101 3
5 28 2
118 182 8
96 84 8
176 227 9
106 288 10
189 27 1
186 23 9
66 5 6
130 1 3
62 143 7
24 48 9
128 123 2
66 249 7
100 107 5
151 296 4
117 138 9
279 67 10
36 63 8
188 249 3
153 275 7
37 299 8
264 127 1
275 245 4
213 203 5
85 248 2
214 131 2
159 162 9
278 198 6
25 1 10
223 100 1
232 59 8
139 153 2
57 128 7
248 256 9
99 97 9
49 256 7
227 278 10
165 54 1
10 131 1
128 185 8
56 24 8
143 267 2
261 159 10
171 102 8
54 253 3
214 96 3
236 226 2
69 105 10
149 95 7
219 281 7
237 89 5
102 246 1
109 16 8
78 93 8
136 49 6
60 135 8
117 210 2
180 269 9
125 237 10
13 18 6
123 29 7
30 175 2
152 103 2
237 223 5
233 213 7
98 84 8
163 201 6
263 227 2
149 198 5
251 211 3
178 145 5
100 133 6
173 211 9
282 274 1
261 207 6
207 57 6
18 167 9
100 44 4
257 3 6
193 242 8
25 128 1
71 119 8
29 194 9
3 119 7
193 142 9
239 101 2
238 77 5
64 220 7
146 83 9
19 81 8
37 44 1
222 15 5
18 69 6
140 124 4
226 63 9
282 232 5
290 161 2
191 151 5
179 243 2
59 262 3
258 197 10
79 205 2
162 256 9
242 278 6
278 244 6
34 125 1
210 14 7
190 83 10
123 24 5
160 123 10
95 101 10
169 16 9
127 285 3
1 279 6
234 257 4
68 66 9
270 144 3
94 202 2
286 25 5
92 237 2
40 136 10
289 239 7
113 238 2
98 76 3
196 144 7
295 171 1
256 39 3
146 183 6
177 17 1
200 191 5
93 180 2
101 206 6
170 108 6
150 36 7
255 205 4
261 48 1
164 92 7
156 119 2
9 58 3
259 290 9
227 165 7
226 64 9
261 234 6
233 221 6
225 282 5
200 253 5
102 159 10
292 3 5
146 255 7
156 214 2
128 70 5
277 200 10
111 104 4
54 171 1
122 96 3
50 52 7
213 206 4
28 277 4
140 73 1
194 281 3
99 30 1
19 242 2
276 239 7
143 183 9
157 133 7
243 168 9
288 140 1
28 53 9
94 254 1
159 58 8
284 119 8
35 44 9
239 9 8
169 96 2
151 44 6
91 197 1
137 11 1
49 231 8
25 171 3
121 82 5
136 202 9
270 237 1
220 298 10
118 171 8
183 226 10
80 274 3
168 163 8
241 36 9
136 222 3
13 264 10
155 286 5
31 234 6
32 52 5
89 258 10
95 122 1
193 63 7
141 240 7
127 246 3
292 15 3
39 160 7
189 119 9
228 87 6
1 295 7
40 84 5
89 179 8
63 262 5
3 284 7
274 137 6
208 119 7
178 158 6
138 160 5
272 180 5
111 15 8
72 141 10
266 282 3
91 29 2
88 55 10
212 81 1
209 207 1
84 29 5
25 191 8
219 85 3
286 235 3
107 201 9
142 95 5
77 241 2
182 123 2
274 261 1
219 266 8
167 189 9
66 197 6
227 65 5
71 151 9
241 180 3
208 168 8
190 50 3
283 281 8
11 238 2
162 229 10
87 220 3
118 255 6
55 184 1
27 97 10
94 295 2
272 203 8
127 36 3
284 195 10
295 293 4
33 41 5
76 202 3
288 273 2
231 30 10
214 57 6
203 45 3
31 21 4
60 48 2
38 164 4
41 22 7
286 259 6
31 183 9
11 143 2
289 122 4
110 156 1
273 2 6
107 33 7
85 221 5
288 98 10
221 139 10
147 234 9
107 45 6
67 282 3
2 225 1
229 104 6
145 169 8
174 77 7
130 214 6
186 174 8
269 156 4
276 104 5
235 77 3
245 23 1
84 296 7
175 141 10
64 233 7
108 197 3
